first_seen_at,last_seen_at,use_count,round_number,difficulty_level,hint,hint_lookup_key,scrambled_word,answer,answer_letters,source_method,confidence
2026-04-04T10:57:15,2026-04-04T10:57:15,136172524174075490315295901039147119182593181687238098944,6,1,WHO WROTE THE ILIAD AND THE,whowrotetheiliadandthe,rhome,homer,homer,user-corrected,1.000
2026-04-04T10:59:16,2026-04-04T10:59:16,136172524174075490315295901039147119182593181687238098944,7,,WHAT IS THE FIRST NAME OF THE,whatisthefirstnameofthe,dgrnoo,gordon,gordon,openai:openrouter/free,1.000
2026-04-04T10:59:34,2026-04-04T10:59:34,136172524174075490315295901039147119182593181687238098944,8,1,WnaT Is The CaPiTal Of ARMenIa,wnatisthecapitalofarmenia,yveenar,yerevan,yerevan,capital-city,0.950
2026-04-04T10:59:54,2026-04-04T10:59:54,136172524174075490315295901039147119182593181687238098944,8,1,WHAT IS THE GAPITAL OF ARMENIA,whatisthegapitalofarmenia,yveenar,yerevan,yerevan,openai:openrouter/free,1.000
2026-04-04T11:25:45,2026-04-04T11:26:21,544690096696301961261183604156588476730372726748952395776,4,1,WHICH PLATFORM IS WDELY USED FOR MUSICSTREAMING? MuSIC STREAMNG,whichplatformiswdelyusedformusicstreamingmusicstreamng,ptisfoy,spotify,spotify,observed-guess,1.000
2026-04-04T11:26:55,2026-04-04T11:26:55,136172524174075490315295901039147119182593181687238098944,5,1,WHICH BIRD LAYS EGGs N OTHER BIROS,whichbirdlayseggsnotherbiros,cooukc,cuckoo,cuckoo,openai:openrouter/free,1.000
2026-04-04T11:30:50,2026-04-04T11:30:50,272345048348150980630591802078294238365186363374476197888,8,1,WHATMICROSCOPICORGANISMCAN Diffcuity Lve: 1 HImt: WAT MCROSCOPIC ORGANSM CAN CAUSEILLNESSORAIDDIGESTION? Cause llness or Aid digestion,whatmicroscopicorganismcandiffcuitylve1himtwatmcroscopicorgansmcancauseillnessoraiddigestioncausellnessoraiddigestion,crebitaa,bacteria,bacteria,observed-guess,1.000
2026-04-04T11:31:07,2026-04-04T11:31:19,272345048348150980630591802078294238365186363374476197888,8,1,WHaT MCROSCOPIC ORGANSM CAN CAUSEILLNESSORAIDDIGESTION,whatmcroscopicorgansmcancauseillnessoraiddigestion,crebitaa,bacteria,bacteria,observed-guess,1.000
2026-04-04T10:21:51,2026-04-04T11:46:36,544690096696301961261183604156588476730372726748952395776,5,1,WHaT Is THE CaPiTAl OF BOTSWANa,whatisthecapitalofbotswana,eoarobng,gaborone,gaborone,capital-city,0.950
2026-04-04T11:27:14,2026-04-04T11:46:36,817035145044452941891775406234882715095559090123428593664,5,,WHICH BIRD LAYS EGGS IN OTHER BIRDS NESTS,whichbirdlayseggsinotherbirdsnests,cooukc,cuckoo,cuckoo,anagram,0.910
2026-04-04T11:51:06,2026-04-04T11:51:25,408517572522226470945887703117441357547779545061714296832,1,1,WHATDEVICEMEASURESTEMPERATURE,whatdevicemeasurestemperature,mrheoeettmr,thermometer,thermometer,anagram,0.910
2026-04-04T11:53:28,2026-04-04T11:53:28,136172524174075490315295901039147119182593181687238098944,3,1,WHICHPOKEMONEVOLVESFROM,whichpokemonevolvesfrom,ardcahirz,charizard,charizard,anagram,0.910
2026-04-04T11:55:50,2026-04-04T11:55:59,272345048348150980630591802078294238365186363374476197888,5,1,WHICHPLATFORMISPRIMARILYUSEDFOR PHOTOSHARING,whichplatformisprimarilyusedforphotosharing,mnatraisg,instagram,instagram,anagram,0.910
2026-04-04T11:56:56,2026-04-04T11:58:05,408517572522226470945887703117441357547779545061714296832,6,,WHATGOLDENBALLENDSAQUIDDITCH MATCHWHENCAUGHT？,whatgoldenballendsaquidditchmatchwhencaught,shncit,snitch,snitch,observed-guess,1.000
2026-04-04T11:59:05,2026-04-04T11:59:19,272345048348150980630591802078294238365186363374476197888,7,1,WHICHBATTLEROYALEGAMEISSETIN THETITANFALLUNIVERSE,whichbattleroyalegameissetinthetitanfalluniverse,apxe,apex,apex,anagram,0.910
2026-04-04T12:00:18,2026-04-04T12:00:43,408517572522226470945887703117441357547779545061714296832,8,1,WHICHCHINESECOMPANYMAKES THINKPADLAPTOPS,whichchinesecompanymakesthinkpadlaptops,oonvel,lenovo,lenovo,anagram:ranked,0.840
2026-04-04T12:21:17,2026-04-04T12:21:22,272345048348150980630591802078294238365186363374476197888,1,1,WHATISTHECAPITALTERRITORYOF,whatisthecapitalterritoryof,ehdli,delhi,delhi,anagram:ranked,0.840
2026-04-04T12:25:48,2026-04-04T12:25:48,136172524174075490315295901039147119182593181687238098944,5,1,WHATISTHECAPITALOFFLORIDA,whatisthecapitalofflorida,asatlealesh,tallahassee,tallahassee,anagram,0.910
2026-04-04T12:27:31,2026-04-04T12:27:46,272345048348150980630591802078294238365186363374476197888,6,1,WHATISTHEHOLLOWCAUSEDBYA METEORITECALLED,whatisthehollowcausedbyameteoritecalled,erarct,crater,crater,openai:openrouter/free,1.000
2026-04-04T12:29:38,2026-04-04T12:30:02,544690096696301961261183604156588476730372726748952395776,8,1,WHOLEDTHEFIRSTEXPEDITIONTO CIRCUMNAVIGATETHEGLOBE,wholedthefirstexpeditiontocircumnavigatetheglobe,malgnela,magellan,magellan,anagram,0.910
2026-04-04T12:51:04,2026-04-04T12:51:18,272345048348150980630591802078294238365186363374476197888,1,1,WHICHBIGCATISNATIVETOTHE,whichbigcatisnativetothe,ugajra,jaguar,jaguar,anagram,0.910
